類型,年份,樓層,總坪數,房間數,價位（萬）
電梯大樓,9.4,14,7.4,2,998
公寓,34.5,5,26.57,6,1598
別墅,21.3,3,61.23,11,12000
電梯大樓,3.5,13,10.86,3,1688
電梯大樓,20.4,19,49.43,6,4880
電梯大樓,16.6,18,24.57,6,2800
電梯大樓,21.5,6,19.32,7,2780
電梯大樓,28.5,5,5.25,3,850
電梯大樓,35.5,7,32.22,7,2780
電梯大樓,36.8,12,35.13,7,3180
電梯大樓,14.8,8,35.91,7,3150
電梯大樓,8.7,15,22.44,6,3988
電梯大樓,33.5,10,14.63,1,6500
電梯大樓,7.1,14,37.08,8,6800
電梯大樓,27.1,10,40.25,5,2680
電梯大樓,21.9,12,30.13,7,3880
電梯大樓,35,12,22.88,6,1448
電梯大樓,35,12,23.3,6,1580
電梯大樓,1.7,7,16.65,4,1980
電梯大樓,30.7,9,38.56,8,1850
電梯大樓,5.2,11,31.11,7,2850
電梯大樓,11.5,14,34.24,7,8030
電梯大樓,30.3,12,26.17,7,1980
電梯大樓,3.4,7,27.79,8,2760
公寓,41.5,4,31.38,8,1300
電梯大樓,17,11,54.96,11,6800
電梯大樓,7.4,14,51.33,8,7680
公寓,44.4,4,31.62,6,980
電梯大樓,5.5,7,27.51,7,2588
公寓,47.9,4,26.34,6,1360
電梯大樓,8.6,8,12.48,5,1600
電梯大樓,14.1,8,15.55,4,1555
電梯大樓,19.2,8,25.36,6.5,1998
電梯大樓,11.2,6,24.8,7,3016
電梯大樓,4.1,7,23.79,7,2679
電梯大樓,19.2,9,25.11,6.5,1800
電梯大樓,25,16,37.25,8,2880
電梯大樓,26.4,7,70.11,10,5488
電梯大樓,17.7,14,29.59,7,3580
電梯大樓,8.7,6,100.84,1,8980
電梯大樓,24.9,12,21.32,7,2190
公寓,37.2,5,30.35,12,1698
公寓,38.3,5,21.22,6,1380
電梯大樓,8.9,7,17.38,5,2250
電梯大樓,6.6,10,17.65,1,1850
電梯大樓,11,14,15.31,3,1998
電梯大樓,7.8,9,29.53,7,5588
電梯大樓,7.1,14,33.98,7,5380
電梯大樓,1.3,11,31.03,7,4700
電梯大樓,9.2,11,13.87,3,1280
公寓,47.7,4,27.77,7,3680
電梯大樓,25.1,7,18.18,5,1610
公寓,31.7,5,31.73,6,1258
電梯大樓,6.4,11,26.36,7,2980
公寓,28.8,5,26.08,7,1820
電梯大樓,4.6,14,36.81,7,3990
公寓,37.1,5,27.82,2,2980
電梯大樓,1.9,14,37.75,6,4800
公寓,30.6,5,27.9,7,1680
電梯大樓,26.5,5,12.16,4,2480
電梯大樓,10.1,14,8.29,2,1240
電梯大樓,11.9,13,16.76,5,2500
公寓,35.6,5,26.93,2,2780
電梯大樓,30.7,12,37.09,7,2750
公寓,34.1,5,23.3,7,1638
電梯大樓,9.2,13,18.37,5,2188
電梯大樓,34.1,7,27.73,7,2500
電梯大樓,5.1,7,13.28,5,1360
電梯大樓,9.5,14,38.52,7,3080
公寓,34.2,5,29.23,7,1880
電梯大樓,9,12,44.2,8,4500
公寓,39.1,5,35.21,7,2730
電梯大樓,36.9,7,37.82,7,4280
電梯大樓,8.8,14,43.84,8,6150
電梯大樓,3.1,9,13.87,5,2060
電梯大樓,22.4,13,16.71,4,1640
電梯大樓,25.5,10,17.74,2,2650
電梯大樓,7.4,11,35.64,7,4980
公寓,34.5,5,25.72,10,1680
公寓,49.3,2,32.34,8,4388
電梯大樓,29.6,4,86.89,1,4950
電梯大樓,34.3,14,18.78,5,1200
電梯大樓,33,12,18.36,3,1880
電梯大樓,32.1,14,24.81,5,2780
電梯大樓,9,7,7.98,3,1188
電梯大樓,34.6,7,34.19,7,2750
公寓,39.2,5,27.58,6,2480
電梯大樓,3,24,28.4,7,3660
電梯大樓,8.3,12,17.79,5,2188
電梯大樓,10.9,15,28.49,7,2788
電梯大樓,12.1,12,21.47,7,2350
電梯大樓,9.7,8,16.38,6,1750
電梯大樓,21.5,16,8.61,3,798
電梯大樓,5.8,7,8.81,4,1300
電梯大樓,8.9,9,27.51,6,2980
電梯大樓,8.3,12,19.09,5,2398
電梯大樓,6.6,13,30.05,7,2812
電梯大樓,11.4,11,10.75,6,1550
電梯大樓,2.4,18,42.83,9,5270
公寓,34.4,5,29.18,6.5,1380
電梯大樓,4.8,15,28.26,6,2980
電梯大樓,3.6,7,8.2,3,1328
公寓,30.8,5,33.89,7,1780
電梯大樓,19.7,13,213.1,5,12888
電梯大樓,3,24,36.87,8,3800
電梯大樓,19.3,13,31.3,7,2580
公寓,38.7,4,26.2,6,1780
公寓,35.4,5,23.12,4,2480
公寓,45.4,5,26.41,7,2600
公寓,29.8,5,29.07,5,1770
公寓,39.9,5,41.17,14,3250
電梯大樓,40.1,7,42.98,8,4790
電梯大樓,32.1,17,23.33,6,2380
電梯大樓,25.6,5,17.6,5,1358
別墅,18.8,4,73.71,11.5,5680
電梯大樓,8.4,13,53.87,10,13988
電梯大樓,3.9,9,39.87,7,5680
電梯大樓,7.8,11,29.19,6,3645
電梯大樓,34.6,7,29.51,7,2488
電梯大樓,4.9,7,31.79,7,3900
電梯大樓,1.5,23,64.22,9,14800
電梯大樓,4.6,14,14.53,5,2788
電梯大樓,8.5,7,18.32,5,2700
公寓,27,5,47.6,7,3280
電梯大樓,24.3,12,31.31,7,3264
電梯大樓,8.9,8,19.23,5,3268
電梯大樓,9.2,13,7.52,2,1400
公寓,40.8,4,24.16,6,1080
電梯大樓,31.1,14,22.86,7,2920
電梯大樓,10.3,12,7.84,3,1350
電梯大樓,4,5,11.41,3,1345
電梯大樓,39.5,7,32.85,6,4180
公寓,34.1,5,28.76,7,1880
公寓,41.8,4,27.98,6.5,1880
電梯大樓,8.4,9,6.68,3,1498
電梯大樓,45.5,12,48.03,8,5680
公寓,40.6,4,38.18,8,1980
公寓,32.7,5,28.88,6,1850
公寓,35.6,5,28.82,10,2100
公寓,48,4,35.71,7.5,3200
公寓,34,5,24.63,6,2100
電梯大樓,3.9,13,43.23,7,5988
電梯大樓,5.2,8,20.66,5,1760
公寓,37.2,4,22.99,6,1550
電梯大樓,10.5,19,16.96,4,3200
電梯大樓,27,5,35.46,8,2980
電梯大樓,9.2,7,6.48,3,1060
電梯大樓,6.6,7,21.88,7,3800
電梯大樓,8.4,13,3.74,1,755
電梯大樓,31.2,16,29.83,7,3125
電梯大樓,41.2,7,11.91,4,1450
電梯大樓,33.4,7,42.76,2,4900
電梯大樓,30.1,12,42.98,7,3698
公寓,1.1,11,29.92,7,2788
電梯大樓,39.4,7,35.82,5,4550
公寓,20.5,5,6.09,3,850
