總坪數,價位（萬）
6.37,1398
41.72,6280
38.48,3500
6.97,1150
8.39,1380
13.15,1520
73.12,16800
38.73,5660
6.61,1580
16.91,2280
54.41,15500
49.25,9859
28.53,4388
20.65,1250
7.85,550
40.45,7988
8.29,798
43.99,7380
19.42,2880
44,7800
54.77,12988
32.66,1645
9.39,1980
54.8,14800
7.32,1518
24.83,1580
46.96,5300
45.99,4380
30.72,3500
34.59,4688
21.4,2250
21.18,2180
22.26,3200
42.92,5090
15.26,1380
14.13,3580
19.42,9800
33.08,1980
11.62,1680
28.24,1180
9.15,1230
31.14,3888
31.87,1688
13.88,1498
91.54,9888
8.9,788
47.81,3300
29.39,2580
10.05,2550
31.69,6180
50.5,5500
26.26,2100
10.94,1200
28.61,2380
39.69,2880
44.25,3880
18.05,1988
9.01,1280
55.88,6990
84.01,5288
8.28,1980
28.26,2980
96.82,16999
26.99,1280
29.98,3150
33.06,2860
35.87,7680
8.35,1380
24.61,1730
20.92,2580
27.17,2350
25.53,2480
32.68,2650
17.74,2388
17.81,5968
12.83,3988
18.28,6188
20.12,2990
30.1,3500
52.69,5800
47.81,3820
20.25,2500
23.2,2498
11.05,998
29.75,5180
94.01,6999
12.52,1880
34.06,11660
53.32,3668
53.69,9800
29.66,2680
16.45,3150
24.6,1490
45.3,2400
10.06,2000
32.11,2560
9,1160
4.17,780
15.57,2180
38.59,6700
16.57,1314
22.72,2380
77.2,11900
9.31,980
45.95,3480
14.89,2088
18.76,2600
13.81,2999
8.51,1298
31.67,2480
18.58,2450
9.79,1490
15.74,2500
36.85,5500
34.61,2100
16.53,1788
36.26,4588
42.02,4980
9.42,1588
41.82,7380
37.73,3930
59.58,11150
24.71,2850
35.81,4980
14.13,2238
16.54,2525
86.26,14500
145.81,15888
17.63,3650
7.25,745
25.35,3380
23.87,2180
32.1,3900
31.5,5400
12.55,1360
94.78,18000
68.13,5698
7.63,1298
8.4,1150
24.38,1980
26.1,6500
117.85,32000
6.18,790
53.35,6980
12.31,2950
29.91,2980
24.33,1368
7.26,1125
66.14,6988
21.44,2010
8.25,1680
28.31,2800
21.17,3668
31.13,2350
25.66,1780
36.25,2488
42.15,6500
8.36,1980
25.16,3088
39.12,3150
46.7,6800
12.05,1650
122.81,12000
42.21,5550
32.63,2660
14.56,1780
19.11,1520
22.17,2338
31.85,2258
43.43,6500
36.76,6900
38.06,6250
20.54,2250
7.85,550
40.45,7988
8.29,798
43.99,7380
19.42,2880
44,7800
54.77,12988
32.66,1645
9.39,1980
54.8,14800
7.32,1518
24.83,1580
46.96,5300
45.99,4380
30.72,3500
34.59,4688
21.4,2250
21.18,2180
22.26,3200
9.13,1099
43.09,10800
52.24,8980
40.08,6980
55.67,13580
7.25,1238
32.14,5480
14.59,2108
28.46,3198
87.21,10000
33.38,3490
39.54,4100
40.09,5380
49.65,6800
36.07,3050
29.82,2500
34.51,9600
114.56,17200
10.04,1530
9.1,1980
5.08,750
4.61,710
44.41,4680
29.41,1560
27.03,3880
46.3,6388
49.88,6200
41.2,2680
10.96,2380
34.55,2650
53.62,8650
36.34,3260
17.65,1780
33.13,4388
17.57,2750
16.45,3568
42.16,3800
27.05,3120
19.17,2578
56.99,6500
12.05,1450
19.53,1800
11.4,1950
7.76,738
